Date,ADANIENT.NS,ASIANPAINT.NS,BAJFINANCE.NS,HDFCBANK.NS,INFY.NS,MARUTI.NS,ONGC.NS,RELIANCE.NS,SUNPHARMA.NS,TCS.NS,^NSEI
2020-08-06,185.49940490722656,1651.040771484375,327.68353271484375,492.8628234863281,845.5751953125,6227.26318359375,56.16249084472656,967.6676635742188,501.2508239746094,2016.54638671875,11200.150390625
2020-08-07,192.43258666992188,1726.2552490234375,339.35015869140625,494.3545837402344,828.1996459960938,6344.33740234375,56.59423828125,973.2674560546875,495.3177185058594,2005.4066162109375,11214.0498046875
2020-08-10,195.2257843017578,1703.413818359375,337.2587890625,497.5751037597656,828.5914306640625,6277.74951171875,56.88206481933594,961.206298828125,512.1751098632812,1994.4417724609375,11270.150390625
2020-08-11,195.3754425048828,1710.294677734375,338.6742248535156,505.1524963378906,826.0657348632812,6316.03076171875,56.4503173828125,967.5316772460938,509.5382080078125,1991.9080810546875,11322.5
2020-08-12,197.22093200683594,1717.6539306640625,334.8392639160156,503.75537109375,831.7269287109375,6393.06689453125,56.19846725463867,964.7203979492188,501.15673828125,1972.2069091796875,11308.400390625
2020-08-13,200.26356506347656,1722.7191162109375,334.9763488769531,501.5531921386719,828.4608764648438,6451.86669921875,56.558250427246094,962.2037963867188,490.4676208496094,1969.6729736328125,11300.4501953125
2020-08-14,195.72457885742188,1722.7191162109375,326.3023376464844,489.9028625488281,830.5511474609375,6314.37939453125,55.4788932800293,958.4629516601562,500.40313720703125,1958.92626953125,11178.400390625
2020-08-17,197.32070922851562,1755.3568115234375,331.5626525878906,489.0978088378906,833.9479370117188,6487.08935546875,57.061946868896484,948.2835693359375,497.57794189453125,1968.7554931640625,11247.099609375
2020-08-18,213.1821746826172,1791.1004638671875,335.0008239746094,500.34552001953125,842.7010498046875,6606.60693359375,58.03336715698242,960.6168823242188,495.3647766113281,1983.0404052734375,11385.349609375
2020-08-19,238.9695281982422,1802.1866455078125,334.0262451171875,505.12872314453125,835.515625,6699.76708984375,57.24184036254883,966.5113525390625,495.74224853515625,1971.55126953125,11408.400390625
2020-08-20,233.4329833984375,1791.864990234375,332.4441833496094,501.5294189453125,831.9011840820312,6684.8154296875,59.11272430419922,950.8679809570312,492.81719970703125,1968.275390625,11312.2001953125
2020-08-21,232.78456115722656,1871.284423828125,332.00335693359375,514.150634765625,826.3705444335938,6683.18603515625,58.321197509765625,943.975830078125,502.2999267578125,1964.56201171875,11371.599609375
2020-08-24,248.09735107421875,1875.250732421875,342.06842041015625,529.021240234375,825.1512451171875,6788.134765625,58.46510314941406,950.2786254882812,503.3377990722656,1964.125244140625,11466.4501953125
2020-08-25,306.80474853515625,1911.997802734375,356.8451232910156,530.2762451171875,817.0511474609375,6814.44384765625,57.92543029785156,944.0892333984375,495.45916748046875,1959.36328125,11472.25
2020-08-26,284.8580627441406,1884.091064453125,357.10467529296875,529.684326171875,828.1124267578125,6717.35498046875,58.57305145263672,969.11865234375,495.50640869140625,1968.8428955078125,11549.599609375
2020-08-27,286.0052490234375,1894.699462890625,355.8263854980469,526.6769409179688,824.8463745117188,6802.990234375,57.673587799072266,957.0120849609375,502.20556640625,1964.3873291015625,11559.25
2020-08-28,287.5515441894531,1871.3802490234375,359.5780944824219,527.8136596679688,814.5690307617188,6808.837890625,57.81749725341797,959.528564453125,524.3790893554688,1955.7813720703125,11647.599609375
2020-08-31,278.87261962890625,1814.9930419921875,341.6521301269531,528.4530029296875,808.7770385742188,6555.66552734375,58.96881103515625,943.4544677734375,490.8830261230469,1972.119140625,11387.5
2020-09-01,280.4188537597656,1891.64111328125,356.9382019042969,533.8755493164062,796.1915893554688,6618.63525390625,57.09792709350586,946.4244995117188,492.0152282714844,1962.5960693359375,11470.25
2020-09-02,292.33990478515625,1857.8568115234375,359.36749267578125,537.11962890625,804.7706909179688,6633.10791015625,57.781517028808594,964.992431640625,485.4574890136719,1979.0211181640625,11535.0
2020-09-03,290.54425048828125,1890.398681640625,354.572509765625,535.5804443359375,814.8302612304688,6778.646484375,56.88206481933594,957.6921997070312,493.90234375,2009.0325927734375,11527.4501953125
2020-09-04,284.4590148925781,1869.7078857421875,352.329345703125,530.0869140625,800.5465087890625,6891.2626953125,56.05455780029297,941.8900756835938,483.5233154296875,1999.684326171875,11333.849609375
2020-09-07,284.5588073730469,1894.3172607421875,343.3516540527344,525.919189453125,805.6851806640625,6909.5205078125,55.01116943359375,944.3385620117188,484.2781066894531,2033.1026611328125,11355.0498046875
2020-09-08,277.0271301269531,1873.5303955078125,342.84716796875,526.8427734375,818.096435546875,6923.75390625,53.572025299072266,955.4249877929688,473.56878662109375,2051.58056640625,11317.349609375
2020-09-09,282.3641052246094,1891.40234375,335.28985595703125,519.2890014648438,808.0367431640625,6915.3681640625,52.31278991699219,980.0236206054688,480.551025390625,2033.62646484375,11278.0
2020-09-10,297.5771484375,1965.47021484375,342.7198181152344,516.4712524414062,818.7496337890625,6931.0859375,52.996368408203125,1049.2398681640625,479.27728271484375,2036.6845703125,11449.25
2020-09-11,295.2827453613281,1945.7822265625,347.1964111328125,510.83544921875,823.6705932617188,6894.61767578125,52.74452590942383,1051.8470458984375,477.0127258300781,2074.209228515625,11464.4501953125
2020-09-14,292.43963623046875,1941.24267578125,337.0383605957031,501.0322265625,852.1510620117188,6832.55859375,52.996368408203125,1044.048095703125,467.8131408691406,2176.69140625,11440.0498046875
2020-09-15,287.85076904296875,1928.1971435546875,344.1598205566406,506.97576904296875,855.6784057617188,6759.66943359375,53.104312896728516,1051.439208984375,477.8147277832031,2176.69140625,11521.7998046875
2020-09-16,296.38006591796875,1922.988525390625,344.9532165527344,517.9393310546875,872.4880981445312,6764.60498046875,52.564632415771484,1054.0235595703125,489.2317199707031,2186.826416015625,11604.5498046875
2020-09-17,292.98834228515625,1919.0224609375,340.0994873046875,513.1798095703125,880.5444946289062,6791.34619140625,52.636592864990234,1042.3251953125,483.0986022949219,2150.088623046875,11516.099609375
2020-09-18,290.8434753417969,1938.56689453125,340.3786926269531,500.72442626953125,872.8364868164062,6675.279296875,53.46409606933594,1045.4764404296875,493.80792236328125,2140.43408203125,11504.9501953125
2020-09-21,276.42852783203125,1885.1904296875,326.20928955078125,496.9357604980469,879.58642578125,6351.5185546875,51.197452545166016,1022.8729248046875,475.219970703125,2153.88916015625,11250.5498046875
2020-09-22,279.72052001953125,1851.6925048828125,323.5497741699219,490.3528747558594,877.4961547851562,6172.86572265625,50.01016616821289,1002.6045532226562,480.1264343261719,2204.25634765625,11153.650390625
2020-09-23,282.8629150390625,1860.341796875,317.75567626953125,495.96484375,888.1654052734375,6231.09033203125,48.678955078125,1011.5143432617188,474.51226806640625,2155.766845703125,11131.849609375
2020-09-24,269.7946472167969,1833.3905029296875,296.6999206542969,487.98492431640625,849.5382080078125,6035.95361328125,47.959381103515625,989.0242919921875,458.37750244140625,2037.645751953125,10805.5498046875
2020-09-25,279.62078857421875,1840.3194580078125,307.4800109863281,494.4256896972656,880.9364624023438,6227.640625,49.57841873168945,998.3196411132812,462.0101623535156,2116.320068359375,11050.25
2020-09-28,294.98345947265625,1859.4337158203125,326.6990661621094,499.2562255859375,880.02197265625,6424.408203125,51.701148986816406,1004.9169921875,481.305908203125,2119.8154296875,11227.5498046875
2020-09-29,297.1781311035156,1873.148193359375,322.74163818359375,503.2108154296875,878.8025512695312,6462.505859375,49.75830841064453,1017.975830078125,477.578857421875,2174.070556640625,11222.400390625
